# time,value
0,4.1545300000000002e-06
4.0000000000000003e-05,4.154331645531656e-06
8.0000000000000007e-05,4.1541330932698912e-06
0.00012,4.1539343436084584e-06
0.00016000000000000001,4.1537353969411381e-06
0.00020000000000000001,4.1535362536617473e-06
0.00024000000000000001,4.1533369141641291e-06
0.00027999999999999998,4.1531373788421582e-06
0.00032000000000000003,4.1529376480897345e-06
0.00036000000000000002,4.1527377223007876e-06
0.00040000000000000002,4.1525376018692684e-06
0.00044000000000000002,4.1523372871891546e-06
0.00048000000000000001,4.1521367786544446e-06
0.00051999999999999995,4.1519360766591585e-06
0.00055999999999999995,4.1517351815973353e-06
0.00059999999999999995,4.1515340938630367e-06
0.00064000000000000005,4.1513328138503388e-06
0.00068000000000000005,4.1511313419533322e-06
0.00072000000000000005,4.1509296785661261e-06
0.00076000000000000004,4.1507278240828416e-06
0.00080000000000000004,4.150525778897614e-06
0.00084000000000000003,4.1503235434045856e-06
0.00088000000000000003,4.1501211179979146e-06
0.00092000000000000003,4.1499185030717629e-06
0.00096000000000000002,4.1497156990203014e-06
0.001,4.1495127062377096e-06
0.0010399999999999999,4.1493095251181678e-06
0.00108,4.1491061560558624e-06
0.0011199999999999999,4.1489025994449828e-06
0.00116,4.1486988556797164e-06
0.0011999999999999999,4.148494925154256e-06
0.00124,4.1482908082627872e-06
0.0012800000000000001,4.148086505399497e-06
0.00132,4.1478820169585674e-06
0.0013600000000000001,4.1476773433341746e-06
0.0014,4.1474724849204904e-06
0.0014400000000000001,4.1472674421116757e-06
0.00148,4.1470622153018871e-06
0.0015200000000000001,4.1468568048852677e-06
0.00156,4.1466512112559503e-06
0.0016000000000000001,4.146445434808056e-06
0.00164,4.1462394759356906e-06
0.0016800000000000001,4.146033335032948e-06
0.00172,4.1458270124939019e-06
0.0017600000000000001,4.1456205087126122e-06
0.0018,4.1454138240831163e-06
0.0018400000000000001,4.1452069589994351e-06
0.0018799999999999999,4.1449999138555678e-06
0.00192,4.144792689045488e-06
0.0019599999999999999,4.1445852849631515e-06
0.002,4.144377702002483e-06
0.0020400000000000001,4.1441699405573865e-06
0.0020799999999999998,4.1439620010217342e-06
0.0021199999999999999,4.1437538837893751e-06
0.00216,4.1435455892541221e-06
0.0022000000000000001,4.1433371178097606e-06
0.0022399999999999998,4.1431284698500459e-06
0.0022799999999999999,4.1429196457686957e-06
0.00232,4.1427106459593967e-06
0.0023600000000000001,4.1425014708157963e-06
0.0023999999999999998,4.1422921207315056e-06
0.0024399999999999999,4.1420825961001012e-06
0.00248,4.1418728973151161e-06
0.0025200000000000001,4.1416630247700429e-06
0.0025600000000000002,4.141452978858337e-06
0.0025999999999999999,4.1412427599734027e-06
0.00264,4.1410323685086047e-06
0.0026800000000000001,4.1408218048572635e-06
0.0027200000000000002,4.1406110694126499e-06
0.0027599999999999999,4.1404001625679887e-06
0.0028,4.1401890847164539e-06
0.0028400000000000001,4.1399778362511697e-06
0.0028800000000000002,4.1397664175652083e-06
0.0029199999999999999,4.1395548290515907e-06
0.00296,4.1393430711032817e-06
0.0030000000000000001,4.1391311441131935e-06
0.0030400000000000002,4.13891904847418e-06
0.0030799999999999998,4.1387067845790367e-06
0.0031199999999999999,4.1384943528205031e-06
0.00316,4.1382817535912553e-06
0.0032000000000000002,4.1380689872839115e-06
0.0032399999999999998,4.1378560542910251e-06
0.0032799999999999999,4.1376429550050882e-06
0.00332,4.1374296898185235e-06
0.0033600000000000001,4.1372162591236945e-06
0.0033999999999999998,4.1370026633128935e-06
0.0034399999999999999,4.1367889027783425e-06
0.00348,4.1365749779121991e-06
0.0035200000000000001,4.1363608891065455e-06
0.0035599999999999998,4.1361466367533963e-06
0.0035999999999999999,4.135932221244687e-06
0.00364,4.1357176429722849e-06
0.0036800000000000001,4.1355029023279807e-06
0.0037200000000000002,4.1352879997034857e-06
0.0037599999999999999,4.135072935490434e-06
0.0038,4.1348577100803827e-06
0.0038400000000000001,4.1346423238648059e-06
0.0038800000000000002,4.1344267772351014e-06
0.0039199999999999999,4.1342110705825781e-06
0.00396,4.1339952042984661e-06
0.0040000000000000001,4.1337791787739075e-06
0.0040400000000000002,4.1335629943999596e-06
0.0040800000000000003,4.1333466515675932e-06
0.0041200000000000004,4.1331301506676896e-06
0.0041599999999999996,4.1329134920910409e-06
0.0041999999999999997,4.1326966762283496e-06
0.0042399999999999998,4.132479703470224e-06
0.00428,4.1322625742071794e-06
0.0043200000000000001,4.1320452888296403e-06
0.0043600000000000002,4.1318278477279349e-06
0.0044000000000000003,4.1316102512922903e-06
0.0044400000000000004,4.1313924999128406e-06
0.0044799999999999996,4.1311745939796207e-06
0.0045199999999999997,4.1309565338825631e-06
0.0045599999999999998,4.1307383200115012e-06
0.0045999999999999999,4.1305199527561658e-06
0.00464,4.1303014325061837e-06
0.0046800000000000001,4.1300827596510781e-06
0.0047200000000000002,4.1298639345802632e-06
0.0047600000000000003,4.1296449576830513e-06
0.0047999999999999996,4.1294258293486432e-06
0.0048399999999999997,4.1292065499661327e-06
0.0048799999999999998,4.1289871199244985e-06
0.0049199999999999999,4.128767539612616e-06
0.00496,4.1285478094192403e-06
0.0050000000000000001,4.1283279297330171e-06
0.0050400000000000002,4.1281079009424755e-06
0.0050800000000000003,4.1278877234360284e-06
0.0051200000000000004,4.1276673976019733e-06
0.0051599999999999997,4.1274469238284877e-06
0.0051999999999999998,4.1272263025036305e-06
0.0052399999999999999,4.1270055340153402e-06
0.00528,4.1267846187514316e-06
0.0053200000000000001,4.1265635570995995e-06
0.0053600000000000002,4.1263423494474138e-06
0.0054000000000000003,4.1261209961823176e-06
0.0054400000000000004,4.1258994976916311e-06
0.0054799999999999996,4.1256778543625442e-06
0.0055199999999999997,4.1254560665821194e-06
0.0055599999999999998,4.1252341347372916e-06
0.0055999999999999999,4.125012059214861e-06
0.00564,4.124789840401499e-06
0.0056800000000000002,4.1245674786837447e-06
0.0057200000000000003,4.1243449744479995e-06
